class,release,loc,comment density,wcm,number of attributes,fan-in,fan-out,cbo,normalized lcom,rfc,creation age,last update age,total loc touched,release loc touched,normalized total churn,normalized release churn,total number of commits,release number of commits,total number of authors,release number of authors,total number of fixes,release number of fixes,average commit change density,number of smells,buggy
storm-core\src\jvm\backtype\storm\testing\MkTupleParam.java,1,29,0.0,7,3,0,0,0,0.6666667,1,1,0,34,34,1.1724138,1.1724138,1,1,1,1,0,0,1.1724138,1,false
storm-core\src\jvm\backtype\storm\spout\MultiScheme.java,1,8,0.0,2,0,3,2,2,0.0,0,1,0,11,11,1.375,1.375,1,1,1,1,0,0,1.375,2,false
storm-core\src\jvm\backtype\storm\generated\JavaObject.java,1,385,0.067532465,11,3,0,1,1,0.6111111,5,1,0,463,463,1.2025974,1.2025974,1,1,1,1,0,0,1.2025974,56,false
storm-core\src\jvm\storm\trident\planner\processor\AggregateProcessor.java,1,57,0.0,8,5,0,12,12,0.45714283,12,1,0,67,67,1.1754386,1.1754386,1,1,1,1,0,0,1.1754386,0,false
storm-core\src\jvm\storm\trident\spout\ICommitterTridentSpout.java,1,11,0.0,1,0,3,6,5,0.0,0,1,0,14,14,1.2727273,1.2727273,1,1,1,1,0,0,1.2727273,2,false
storm-core\src\jvm\backtype\storm\utils\RegisteredGlobalState.java,1,38,0.18421052,5,2,6,0,0,0.1,5,1,0,47,47,1.2368422,1.2368422,1,1,1,1,0,0,1.2368422,3,false
storm-core\src\jvm\backtype\storm\clojure\ClojureBolt.java,1,87,0.011494253,1,0,0,0,0,0.0,1,1,0,102,102,1.1724138,1.1724138,1,1,1,1,0,0,1.1724138,3,false
storm-core\src\jvm\backtype\storm\serialization\DefaultKryoFactory.java,1,37,0.0,3,1,0,3,3,0.0,1,1,0,47,47,1.2702702,1.2702702,1,1,1,1,0,0,1.2702702,2,false
storm-core\src\jvm\backtype\storm\drpc\LinearDRPCInputDeclarer.java,1,22,0.0,16,0,3,7,4,0.0,0,1,0,32,32,1.4545455,1.4545455,1,1,1,1,0,0,1.4545455,16,false
storm-core\src\jvm\storm\trident\spout\TridentSpoutCoordinator.java,1,64,0.0,7,7,2,23,15,0.71428573,18,1,0,77,77,1.203125,1.203125,1,1,1,1,0,0,1.203125,0,false
storm-core\src\jvm\backtype\storm\state\StateSpoutOutputCollector.java,1,7,0.0,1,0,1,2,2,0.0,0,1,0,11,11,1.5714285,1.5714285,1,1,1,1,0,0,1.5714285,0,false
storm-core\src\jvm\storm\trident\operation\BaseOperation.java,1,10,0.0,2,0,3,2,2,0.0,0,1,0,15,15,1.5,1.5,1,1,1,1,0,0,1.5,2,false
storm-core\src\jvm\backtype\storm\transactional\TransactionalTopologyBuilder.java,1,427,0.016393442,2,0,0,1,1,0.0,1,1,0,493,493,1.1545668,1.1545668,1,1,1,1,0,0,1.1545668,2,false
storm-core\src\jvm\storm\trident\testing\TuplifyArgs.java,1,16,0.0,2,0,0,3,3,0.0,3,1,0,20,20,1.25,1.25,1,1,1,1,0,0,1.25,0,false
