model,feature selection,balancing,accuracy,precision,recall,f1,auc,kappa
RandomForest,false,false,95.50290578341799,0.8518126523435126,0.5835305642633225,0.6910386776848587,0.9625336217916187,0.6677835463678757
NaiveBayes,false,false,84.2142235801441,0.23485660048404586,0.361298328108673,0.2838720308082211,0.7233142201739742,0.19994399236428176
IBk,false,false,91.29854114620599,0.4997359585425745,0.41299764890282126,0.4508909472903778,0.6814769992480172,0.40421658558041007
RandomForest,true,false,94.34376991434148,0.7387621017810022,0.5382850052246604,0.6212708634576055,0.951133700951884,0.5916250393609637
NaiveBayes,true,false,84.73047368277017,0.24499697580748328,0.3454127481713688,0.2805383585055265,0.7219208359297599,0.20012821421128346
IBk,true,false,92.21639925249137,0.555771601723723,0.503332027168234,0.5267934884896228,0.8435532858122778,0.4846446073885295
RandomForest,false,true,87.44929491013868,0.3983452434533614,0.8643704284221527,0.5447786979808548,0.9428710315406539,0.4834637218912434
NaiveBayes,false,true,76.03192647674007,0.20566580401675774,0.49118861024033433,0.2730239278413815,0.7275336982270235,0.1734783111637119
IBk,false,true,78.19107798407241,0.22599973143369492,0.6226018808777432,0.33135342727389605,0.709245697337307,0.23395000283457018
RandomForest,true,true,86.72430927778629,0.3826481989615783,0.8550979623824451,0.5282154335953522,0.9317242853542059,0.4639929780329497
NaiveBayes,true,true,62.382762927950644,0.18073078976343893,0.5896982758620689,0.2445025501477265,0.7283642335257265,0.1327930860842104
IBk,true,true,81.8554438723449,0.29174632265364653,0.7595271682340651,0.4210887418276552,0.8007779252138139,0.3382087943722764
